Citizenship	2005_refugees	2005_fam_reun	2005_labour	2005_students	2005_adopted
					
EUROPE of which	1648	8366	2085	752	86
Bulgaria	-				
					
Former Yugoslavia there off:	1299	2111			
Bosnia H.	197	543			
Kosovo 5)	..				
Serbia and Montenegro 6)	1059	1262			
					
Poland	-	634	*	*	-
Romania	4	301	414		-
Russia	157	700	376	168	41
United Kingdom		641		*	
Turkey	76	886	86	207	
Ukraine			547		
Estonia			*	*	
Croatia			140		
Lithuania			*	*	
Belarus			88		
Germany		829		*	
France				*	
Greece				*	
Latvia				*	
Netherlands				*	
					
					
AFRICA of which	1991	2864	259	1155	62
Eritrea	475	190			
Ethiopia	37	178		60	43
Somalia	841	770			
Uganda	9				
Egypt				18	
Cameroon				329	
Nigeria				301	
					
					
AMERICA of which	428	2238	1175	998	11
Chile	6	356			-
Colombia	332	103			-
Cuba	15				
Brazil			143	54	-
Bolivia					10
Guatemala					-
Canada			241	363	
USA		522	629	213	
Mexico				168	
					
					
ASIA of which	3711	7733	2136	3636	645
Afghanistan	387				
Bangladesh	44			307	
Philippines		373			8
India		175	760	592	38
Iraq	1692	1705			
Iran	230	626	44	266	
China	36	498	479	934	450
Japan			152	151	
Pakistan			35	624	
Lebanon	97	277			
Sri Lanka	5	85			1
Syria	178	427	32		
Thailand		2095	329		35
Vietnam	3	283			86
Korea, Republic					9
					
					
OCEANIA of which		235	316	280	
Australia			265		
					
					
OTHERS of which	1081	472	14	16	1
					
					
TOTAL of which	8859	21908	5985	6837	805
Females	4185	12511	1512	2367	583
Males	4674	9397	4473	4470	222
